Comment,Designator,LCSC Part #,Footprint,Value

"ATtinny10","IC2","C128438","SOT23-6",""
"ATtinny10","IC3","","SOT23-6",""
"Battery","J12","","LiIon_UWS",""
"Buzzer","J6","","BUZZER 9.5x5",""
"Connector 2pin 3.5mm","J7","","Connector 2pin 3.5mm",""
"Connector 6 pin","J1, J2","","6x1 connector 1.27mm",""
"jumper","J8","","0402_jumper",""
"KMZ51","IC1","","KMZ51_SO8",""
"Pinhead 2pin 2.54mm","J9, J10, J13","","Pinhead 2pi 2.54mm",""
"SMD potentiometer","R2","","Pot 1804",""
"uUSB","J11","","microUSB",""
"UWS_B1_outline","B1","","UWS_B1_outline",""
"Capacitor","C1, C5, C12","C19666","SMD0603_CAP","4u7"
"Capacitor","C2, C3, C6, C11","C1525","SMD0402_CAP","100n"
"Capacitor","C4","C23733","SMD0402_CAP","4u7"
"Capacitor","C7, C10","C52923","SMD0402_CAP","1u"
"SI2302","Q1","C181087","SOT_23",""
"AO3401A","Q3","C15127","SOT_23",""
"BM3415E","Q2","C431504","SOT_23",""
"LED","D1, D6","C72043","SMD0603_LED","GREEN, RED"
"LED","D2, D3","C72041","SMD0603_LED","BLUE"
"LED","D4","C72038","SMD0603_LED","YELLOW"
"LED","D5","C2286","SMD0603_LED","RED"
"TP4054-42","IC5","C32574","SOT23-5",""
"GS8331-TR","IC6","C157712","SOT23-5",""
"Resistor","F1","C261942","SMD0805_RES","0ZCK0050FF2E"
"Resistor","FB1, FB2","C76803","SMD0402_RES",""
"Resistor","R1","C25117","SMD0402_RES","470R"
"Resistor","R3, R4","C26083","SMD0402_RES","1M"
"Resistor","R5, R6, R23, R30, R31, R32","C25879","SMD0402_RES","2k2"
"Resistor","R7, R27","C26082","SMD0402_RES","10M"
"Resistor","R8, R9, R11, R29","C11702","SMD0402_RES","1k, 10k"
"Resistor","R10, R13, R15, R17, R18, R20, R24, R25","C25744","SMD0402_RES","10k"
"Resistor","R12, R19","C25905","SMD0402_RES","5k1"
"Resistor","R14","","SMD0402_RES","DNP"
"Resistor","R16","C25120","SMD0402_RES","49R9"
"Resistor","R21, R22, R26, R28","","SMD0402_RES","DNP"
"TL431","VR1","C181103","SOT23",""
